sys,t_res,s_res,tr,ta,total_time
Vanilla,hour,0.25,0.4788093566894531,0.0,0.4788093566894531
Vanilla,hour,0.25,0.09601736068725586,0.0,0.09601736068725586
Vanilla,hour,0.25,0.09365487098693848,0.0,0.09365487098693848
Vanilla,hour,0.5,0.09358668327331543,26.345306158065796,26.43889284133911
Vanilla,hour,0.5,0.09484672546386719,25.92593765258789,26.020784378051758
Vanilla,hour,0.5,0.09346938133239746,27.817161798477173,27.91063117980957
Vanilla,hour,1.0,0.09370541572570801,25.413612604141235,25.507318019866943
Vanilla,hour,1.0,0.07021450996398926,19.759634494781494,19.829849004745483
Vanilla,hour,1.0,0.06662535667419434,28.43274998664856,28.499375343322754
Vanilla,day,0.25,0.06710672378540039,17.931402444839478,17.998509168624878
Vanilla,day,0.25,0.07087445259094238,17.942551374435425,18.013425827026367
Vanilla,day,0.25,0.06710076332092285,18.360016345977783,18.427117109298706
Vanilla,day,0.5,0.0690150260925293,19.39945650100708,19.46847152709961
Vanilla,day,0.5,0.06691598892211914,19.396861791610718,19.463777780532837
Vanilla,day,0.5,0.0711207389831543,21.190654516220093,21.261775255203247
Vanilla,day,1.0,0.0670466423034668,19.192789793014526,19.259836435317993
Vanilla,day,1.0,0.06711506843566895,19.331603050231934,19.398718118667603
Vanilla,day,1.0,0.0670623779296875,20.987730979919434,21.05479335784912
Vanilla,month,0.25,0.06682324409484863,10.208340167999268,10.275163412094116
Vanilla,month,0.25,0.0800013542175293,10.144925117492676,10.224926471710205
Vanilla,month,0.25,0.09155631065368652,10.48144793510437,10.573004245758057
Vanilla,month,0.5,0.06717514991760254,10.150271654129028,10.21744680404663
Vanilla,month,0.5,0.07636809349060059,10.058168888092041,10.134536981582642
Vanilla,month,0.5,0.0925595760345459,10.311098337173462,10.403657913208008
Vanilla,month,1.0,0.07108712196350098,10.115078449249268,10.186165571212769
Vanilla,month,1.0,0.07694315910339355,10.354672193527222,10.431615352630615
Vanilla,month,1.0,0.09108257293701172,10.5785813331604,10.669663906097412
Vanilla,year,0.25,0.08059334754943848,9.866722106933594,9.947315454483032
Vanilla,year,0.25,0.10730409622192383,9.780929803848267,9.88823390007019
Vanilla,year,0.25,0.09951448440551758,10.95686960220337,11.056384086608887
Vanilla,year,0.5,0.0678398609161377,9.900070905685425,9.967910766601562
Vanilla,year,0.5,0.10744166374206543,9.677462339401245,9.78490400314331
Vanilla,year,0.5,0.10853290557861328,11.03480315208435,11.143336057662964
Vanilla,year,1.0,0.1054239273071289,9.721100568771362,9.826524496078491
Vanilla,year,1.0,0.10757207870483398,9.875608682632446,9.98318076133728
Vanilla,year,1.0,0.10547637939453125,11.127036094665527,11.232512474060059
