sys,t_res,s_res,filter_value,tr,ta,total_time
Polaris,hour,0.25,205,0.922539234161377,0,0.922539234161377
Polaris,hour,0.25,240,0.11486148834228516,0,0.11486148834228516
Polaris,hour,0.25,245,0.11443924903869629,0,0.11443924903869629
Polaris,hour,0.25,255,0.11803436279296875,0,0.11803436279296875
Polaris,hour,0.25,265,0.11657476425170898,0,0.11657476425170898
Polaris,hour,0.25,275,0.11471033096313477,0,0.11471033096313477
Polaris,hour,0.25,285,5.907898426055908,0,5.907898426055908
Polaris,hour,0.25,295,5.979323625564575,0,5.979323625564575
Polaris,hour,0.25,310,6.0961573123931885,0,6.0961573123931885
Polaris,hour,0.25,205,0.10323905944824219,0,0.10323905944824219
Polaris,hour,0.25,240,0.10509657859802246,0,0.10509657859802246
Polaris,hour,0.25,245,0.10584759712219238,0,0.10584759712219238
Polaris,hour,0.25,255,0.10657691955566406,0,0.10657691955566406
Polaris,hour,0.25,265,0.10687136650085449,0,0.10687136650085449
Polaris,hour,0.25,275,0.10636043548583984,0,0.10636043548583984
Polaris,hour,0.25,285,5.871798038482666,0,5.871798038482666
Polaris,hour,0.25,295,5.768604278564453,0,5.768604278564453
Polaris,hour,0.25,310,6.085508346557617,0,6.085508346557617
Polaris,hour,0.25,205,0.10376596450805664,0,0.10376596450805664
Polaris,hour,0.25,240,0.10539865493774414,0,0.10539865493774414
Polaris,hour,0.25,245,0.10690450668334961,0,0.10690450668334961
Polaris,hour,0.25,255,0.1074666976928711,0,0.1074666976928711
Polaris,hour,0.25,265,0.1058797836303711,0,0.1058797836303711
Polaris,hour,0.25,275,0.10660767555236816,0,0.10660767555236816
Polaris,hour,0.25,285,5.9011712074279785,0,5.9011712074279785
Polaris,hour,0.25,295,5.9923460483551025,0,5.9923460483551025
Polaris,hour,0.25,310,6.099525451660156,0,6.099525451660156
Polaris,hour,1.0,205,0.10411500930786133,0,0.10411500930786133
Polaris,hour,1.0,240,0.107147216796875,0,0.107147216796875
Polaris,hour,1.0,245,0.10753178596496582,0,0.10753178596496582
Polaris,hour,1.0,255,0.10667681694030762,0,0.10667681694030762
Polaris,hour,1.0,265,0.10700416564941406,0,0.10700416564941406
Polaris,hour,1.0,275,0.10692572593688965,0,0.10692572593688965
Polaris,hour,1.0,285,5.8907177448272705,0,5.8907177448272705
Polaris,hour,1.0,295,5.994375944137573,0,5.994375944137573
Polaris,hour,1.0,310,6.101454496383667,0,6.101454496383667
Polaris,hour,1.0,205,0.10536980628967285,0,0.10536980628967285
Polaris,hour,1.0,240,0.10625505447387695,0,0.10625505447387695
Polaris,hour,1.0,245,0.10751461982727051,0,0.10751461982727051
Polaris,hour,1.0,255,0.10709452629089355,0,0.10709452629089355
Polaris,hour,1.0,265,0.10671353340148926,0,0.10671353340148926
Polaris,hour,1.0,275,0.1069040298461914,0,0.1069040298461914
Polaris,hour,1.0,285,5.886682033538818,0,5.886682033538818
Polaris,hour,1.0,295,5.768373727798462,0,5.768373727798462
Polaris,hour,1.0,310,6.080592155456543,0,6.080592155456543
Polaris,hour,1.0,205,0.10271573066711426,0,0.10271573066711426
Polaris,hour,1.0,240,0.1062629222869873,0,0.1062629222869873
Polaris,hour,1.0,245,0.10714149475097656,0,0.10714149475097656
Polaris,hour,1.0,255,0.10786294937133789,0,0.10786294937133789
Polaris,hour,1.0,265,0.10721158981323242,0,0.10721158981323242
Polaris,hour,1.0,275,0.10734367370605469,0,0.10734367370605469
Polaris,hour,1.0,285,5.893772602081299,0,5.893772602081299
Polaris,hour,1.0,295,5.996344804763794,0,5.996344804763794
Polaris,hour,1.0,310,6.114697217941284,0,6.114697217941284
