sys,t_res,s_res,tr,ta,total_time
Vanilla,hour,0.25,0.4753124713897705,112.29575562477112,112.77106809616089
Vanilla,hour,0.25,0.1031656265258789,83.43422102928162,83.5373866558075
Vanilla,hour,0.25,0.10588335990905762,38.41905355453491,38.52493691444397
Vanilla,day,0.25,0.09396576881408691,20.017364740371704,20.11133050918579
Vanilla,day,0.25,0.08664894104003906,23.54999017715454,23.63663911819458
Vanilla,day,0.25,0.06790447235107422,23.30668544769287,23.374589920043945
Vanilla,month,0.25,0.06867003440856934,10.248134136199951,10.31680417060852
Vanilla,month,0.25,0.07988810539245605,10.173899412155151,10.253787517547607
Vanilla,month,0.25,0.08203840255737305,10.683494329452515,10.765532732009888
Vanilla,year,0.25,0.06730222702026367,9.75041913986206,9.817721366882324
Vanilla,year,0.25,0.10702729225158691,9.902551174163818,10.009578466415405
Vanilla,year,0.25,0.0989842414855957,10.934051036834717,11.033035278320312
Vanilla,hour,0.5,0.06705880165100098,25.85800552368164,25.92506432533264
Vanilla,hour,0.5,0.06743741035461426,26.034963369369507,26.10240077972412
Vanilla,hour,0.5,0.06730079650878906,28.054890871047974,28.122191667556763
Vanilla,day,0.5,0.06726861000061035,19.2670419216156,19.33431053161621
Vanilla,day,0.5,0.06670451164245605,19.373520135879517,19.440224647521973
Vanilla,day,0.5,0.06828427314758301,21.214965105056763,21.283249378204346
Vanilla,month,0.5,0.06680011749267578,10.23642897605896,10.303229093551636
Vanilla,month,0.5,0.08350396156311035,10.23780608177185,10.321310043334961
Vanilla,month,0.5,0.07631063461303711,10.452481985092163,10.5287926197052
Vanilla,year,0.5,0.08865928649902344,9.802000999450684,9.890660285949707
Vanilla,year,0.5,0.06696105003356934,9.856820106506348,9.923781156539917
Vanilla,year,0.5,0.10674738883972168,11.06169843673706,11.168445825576782
Vanilla,hour,1.0,0.10525107383728027,19.8082275390625,19.91347861289978
Vanilla,hour,1.0,0.0669853687286377,19.711297750473022,19.77828311920166
Vanilla,hour,1.0,0.06764602661132812,18.775912761688232,18.84355878829956
Vanilla,day,1.0,0.06737589836120605,19.104013204574585,19.17138910293579
Vanilla,day,1.0,0.06725215911865234,19.15111541748047,19.21836757659912
Vanilla,day,1.0,0.06684374809265137,21.029585361480713,21.096429109573364
Vanilla,month,1.0,0.06707453727722168,10.089506149291992,10.156580686569214
Vanilla,month,1.0,0.09293293952941895,10.135496854782104,10.228429794311523
Vanilla,month,1.0,0.06767416000366211,10.391403675079346,10.459077835083008
Vanilla,year,1.0,0.06832027435302734,9.729167938232422,9.79748821258545
Vanilla,year,1.0,0.10509896278381348,9.48289942741394,9.587998390197754
Vanilla,year,1.0,0.10707616806030273,11.049158811569214,11.156234979629517
Polaris,hour,0.25,0.11239123344421387,0.0,0.11239123344421387
Polaris,hour,0.25,0.07508635520935059,0.0,0.07508635520935059
Polaris,hour,0.25,0.0743398666381836,0.0,0.0743398666381836
Polaris,day,0.25,0.04054760932922363,6.720093250274658,6.760640859603882
Polaris,day,0.25,0.03368210792541504,6.338936805725098,6.372618913650513
Polaris,day,0.25,0.03339695930480957,6.269765853881836,6.3031628131866455
Polaris,month,0.25,0.0263516902923584,0.2121140956878662,0.2384657859802246
Polaris,month,0.25,0.049036264419555664,0.20413661003112793,0.2531728744506836
Polaris,month,0.25,0.05855059623718262,0.23363351821899414,0.29218411445617676
Polaris,year,0.25,0.045995473861694336,0.01769113540649414,0.06368660926818848
Polaris,year,0.25,0.042099714279174805,0.024654150009155273,0.06675386428833008
Polaris,year,0.25,0.03524470329284668,0.018870115280151367,0.05411481857299805
Polaris,hour,0.5,0.035552263259887695,10.848157167434692,10.88370943069458
Polaris,hour,0.5,0.028997421264648438,10.96373701095581,10.992734432220459
Polaris,hour,0.5,0.029215574264526367,9.040315866470337,9.069531440734863
Polaris,day,0.5,0.030268430709838867,2.4214272499084473,2.451695680618286
Polaris,day,0.5,0.02539229393005371,2.316607713699341,2.3420000076293945
Polaris,day,0.5,0.03384113311767578,2.325930118560791,2.359771251678467
Polaris,month,0.5,0.04025888442993164,0.08613324165344238,0.12639212608337402
Polaris,month,0.5,0.05318093299865723,0.0770101547241211,0.13019108772277832
Polaris,month,0.5,0.05646038055419922,0.08005571365356445,0.13651609420776367
Polaris,year,0.5,0.05020594596862793,0.010323762893676758,0.06052970886230469
Polaris,year,0.5,0.036318302154541016,0.008175134658813477,0.04449343681335449
Polaris,year,0.5,0.04388689994812012,0.008692026138305664,0.05257892608642578
Polaris,hour,1.0,0.03832530975341797,2.398724317550659,2.437049627304077
Polaris,hour,1.0,0.02928018569946289,2.6151304244995117,2.6444106101989746
Polaris,hour,1.0,0.028879642486572266,2.4632070064544678,2.49208664894104
Polaris,day,1.0,0.038480520248413086,0.842555046081543,0.881035566329956
Polaris,day,1.0,0.03570246696472168,0.870476245880127,0.9061787128448486
Polaris,day,1.0,0.04632377624511719,1.8051016330718994,1.8514254093170166
Polaris,month,1.0,0.04188418388366699,0.03538084030151367,0.07726502418518066
Polaris,month,1.0,0.03647279739379883,0.03355908393859863,0.07003188133239746
Polaris,month,1.0,0.0403599739074707,0.05304884910583496,0.09340882301330566
Polaris,year,1.0,0.053171634674072266,0.005544424057006836,0.0587160587310791
Polaris,year,1.0,0.041504621505737305,0.005104780197143555,0.04660940170288086
Polaris,year,1.0,0.04417061805725098,0.0045735836029052734,0.04874420166015625
