sys,t_res,s_res,tr,ta,total_time
TDB,hour,0.25,38.25795125961304,0.15174412727355957,38.4096953868866
TDB,hour,0.25,41.93998980522156,0.0002503395080566406,41.940240144729614
TDB,hour,0.25,36.84790110588074,0.00023245811462402344,36.84813356399536
TDB,day,0.25,36.33367586135864,3.034245252609253,39.367921113967896
TDB,day,0.25,36.70708250999451,2.920832395553589,39.627914905548096
TDB,day,0.25,36.81979966163635,6.696986675262451,43.516786336898804
TDB,month,0.25,36.22405242919922,1.0171704292297363,37.241222858428955
TDB,month,0.25,36.90260124206543,1.005737066268921,37.90833830833435
TDB,month,0.25,36.391066551208496,4.234374046325684,40.62544059753418
TDB,year,0.25,36.179680824279785,0.8785486221313477,37.05822944641113
TDB,year,0.25,36.38114809989929,0.9560606479644775,37.33720874786377
TDB,year,0.25,36.186187744140625,8.040382146835327,44.22656989097595
TDB,hour,0.5,35.886454582214355,77.16120982170105,113.0476644039154
TDB,hour,0.5,36.39367485046387,75.58656907081604,111.98024392127991
TDB,hour,0.5,36.47513175010681,89.53990864753723,126.01504039764404
TDB,day,0.5,36.017520904541016,6.081807851791382,42.0993287563324
TDB,day,0.5,36.501513719558716,6.081778049468994,42.58329176902771
TDB,day,0.5,36.34433102607727,10.133439779281616,46.47777080535889
TDB,month,0.5,36.370882511138916,1.0568690299987793,37.427751541137695
TDB,month,0.5,36.388916015625,1.0505602359771729,37.43947625160217
TDB,month,0.5,36.87901711463928,4.3319411277771,41.21095824241638
TDB,year,0.5,36.07571530342102,0.8926303386688232,36.968345642089844
TDB,year,0.5,36.402334451675415,0.9132733345031738,37.31560778617859
TDB,year,0.5,36.538363218307495,6.0087361335754395,42.547099351882935
TDB,hour,1.0,35.89789819717407,48.94093060493469,84.83882880210876
TDB,hour,1.0,36.54976940155029,48.6948606967926,85.2446300983429
TDB,hour,1.0,36.4285888671875,42.2768235206604,78.7054123878479
TDB,day,1.0,36.62312722206116,4.976821660995483,41.59994888305664
TDB,day,1.0,36.38254380226135,4.9607720375061035,41.343315839767456
TDB,day,1.0,36.337761878967285,8.432368755340576,44.77013063430786
TDB,month,1.0,35.95929455757141,1.0210838317871094,36.98037838935852
TDB,month,1.0,36.62756538391113,1.0187969207763672,37.6463623046875
TDB,month,1.0,36.27085542678833,4.394814729690552,40.66567015647888
TDB,year,1.0,36.204384088516235,0.8924510478973389,37.096835136413574
TDB,year,1.0,36.43071174621582,0.8977336883544922,37.32844543457031
TDB,year,1.0,35.98727321624756,5.9075164794921875,41.894789695739746
