sys,t_res,s_res,time_span,tr,ta,total_time
TDB,hour,0.25,1.0,38.07656502723694,0,38.07656502723694
TDB,hour,0.25,1.0,39.62740349769592,0,39.62740349769592
TDB,hour,0.25,1.0,41.30689096450806,0,41.30689096450806
TDB,hour,0.25,2.5,44.0569429397583,0,44.0569429397583
TDB,hour,0.25,2.5,46.029027223587036,0,46.029027223587036
TDB,hour,0.25,2.5,46.47686982154846,0,46.47686982154846
TDB,hour,0.25,5.0,54.336527824401855,0,54.336527824401855
TDB,hour,0.25,5.0,53.02225160598755,0,53.02225160598755
TDB,hour,0.25,5.0,69.49793267250061,0,69.49793267250061
TDB,year,0.25,1.0,36.83957099914551,0,36.83957099914551
TDB,year,0.25,1.0,38.96489953994751,0,38.96489953994751
TDB,year,0.25,1.0,40.37141227722168,0,40.37141227722168
TDB,year,0.25,2.5,43.68352675437927,0,43.68352675437927
TDB,year,0.25,2.5,45.85251069068909,0,45.85251069068909
TDB,year,0.25,2.5,45.877861738204956,0,45.877861738204956
TDB,year,0.25,5.0,52.60330677032471,0,52.60330677032471
TDB,year,0.25,5.0,49.028024435043335,0,49.028024435043335
TDB,year,0.25,5.0,62.778385400772095,0,62.778385400772095
TDB,hour,1.0,1.0,46.436439514160156,0,46.436439514160156
TDB,hour,1.0,1.0,48.070082664489746,0,48.070082664489746
TDB,hour,1.0,1.0,47.210065603256226,0,47.210065603256226
TDB,hour,1.0,2.5,65.74476718902588,0,65.74476718902588
TDB,hour,1.0,2.5,67.13686156272888,0,67.13686156272888
TDB,hour,1.0,2.5,63.50824737548828,0,63.50824737548828
TDB,hour,1.0,5.0,100.12975263595581,0,100.12975263595581
TDB,hour,1.0,5.0,97.39878439903259,0,97.39878439903259
TDB,hour,1.0,5.0,105.83193135261536,0,105.83193135261536
TDB,year,1.0,1.0,37.19917917251587,0,37.19917917251587
TDB,year,1.0,1.0,38.884567975997925,0,38.884567975997925
TDB,year,1.0,1.0,40.20171093940735,0,40.20171093940735
TDB,year,1.0,2.5,43.7758629322052,0,43.7758629322052
TDB,year,1.0,2.5,45.62206530570984,0,45.62206530570984
TDB,year,1.0,2.5,39.94715857505798,0,39.94715857505798
TDB,year,1.0,5.0,51.134113073349,0,51.134113073349
TDB,year,1.0,5.0,47.06707429885864,0,47.06707429885864
TDB,year,1.0,5.0,64.7354166507721,0,64.7354166507721
