sys,t_res,s_res,tr,ta,total_time
TDB,hour,0.25,37.990633964538574,0.16138887405395508,38.15202283859253
TDB,hour,0.25,37.44740271568298,0.00023698806762695312,37.44763970375061
TDB,hour,0.25,47.96126389503479,0.000225067138671875,47.96148896217346
TDB,hour,0.5,37.13000512123108,78.26638627052307,115.39639139175415
TDB,hour,0.5,46.09458541870117,77.44765734672546,123.54224276542664
TDB,hour,0.5,46.19098949432373,95.51195955276489,141.70294904708862
TDB,hour,1.0,37.1027307510376,48.957823753356934,86.06055450439453
TDB,hour,1.0,44.43522047996521,48.52377772331238,92.95899820327759
TDB,hour,1.0,46.92744016647339,52.96554207801819,99.89298224449158
TDB,day,0.25,36.3881402015686,2.890918016433716,39.27905821800232
TDB,day,0.25,36.83864641189575,2.9131946563720703,39.75184106826782
TDB,day,0.25,36.85339117050171,6.616163015365601,43.46955418586731
TDB,day,0.5,36.28743767738342,6.015748023986816,42.30318570137024
TDB,day,0.5,36.1037974357605,6.083467245101929,42.18726468086243
TDB,day,0.5,36.556196451187134,9.891788005828857,46.44798445701599
TDB,day,1.0,36.286176681518555,4.932016849517822,41.21819353103638
TDB,day,1.0,36.38164782524109,4.9261932373046875,41.307841062545776
TDB,day,1.0,36.69851040840149,8.287551879882812,44.9860622882843
TDB,month,0.25,36.680864334106445,0.9767005443572998,37.657564878463745
TDB,month,0.25,36.452841997146606,0.9462089538574219,37.39905095100403
TDB,month,0.25,36.71138906478882,4.148012161254883,40.8594012260437
TDB,month,0.5,36.778621196746826,1.0493497848510742,37.8279709815979
TDB,month,0.5,36.69369840621948,1.055976152420044,37.749674558639526
TDB,month,0.5,36.894609451293945,4.245288133621216,41.13989758491516
TDB,month,1.0,36.12293219566345,1.0132973194122314,37.136229515075684
TDB,month,1.0,36.2788770198822,1.0169034004211426,37.295780420303345
TDB,month,1.0,36.81963777542114,4.311502933502197,41.13114070892334
TDB,year,0.25,36.71284461021423,0.8710722923278809,37.583916902542114
TDB,year,0.25,36.73497533798218,0.8793268203735352,37.61430215835571
TDB,year,0.25,36.998013734817505,5.724709987640381,42.722723722457886
TDB,year,0.5,36.60919690132141,0.8971214294433594,37.50631833076477
TDB,year,0.5,36.50049090385437,0.90106201171875,37.40155291557312
TDB,year,0.5,37.18110537528992,5.854237794876099,43.035343170166016
TDB,year,1.0,36.73134803771973,0.8977699279785156,37.62911796569824
TDB,year,1.0,36.452940940856934,0.8824491500854492,37.33539009094238
TDB,year,1.0,36.49051260948181,5.7590837478637695,42.24959635734558
