sys,t_res,s_res,tr,ta,total_time
Vanilla,hour,0.25,0.5180299282073975,16.384848594665527,16.902878522872925
Vanilla,hour,0.25,0.09668993949890137,13.2363600730896,13.333050012588501
Vanilla,hour,0.25,0.09423375129699707,13.493003368377686,13.587237119674683
Vanilla,day,0.25,0.09419465065002441,17.959296226501465,18.05349087715149
Vanilla,day,0.25,0.07145810127258301,17.96281599998474,18.034274101257324
Vanilla,day,0.25,0.06774735450744629,22.679717540740967,22.747464895248413
Vanilla,month,0.25,0.06941533088684082,10.210428953170776,10.279844284057617
Vanilla,month,0.25,0.07317090034484863,10.17809009552002,10.251260995864868
Vanilla,month,0.25,0.0670168399810791,10.448712587356567,10.515729427337646
Vanilla,year,0.25,0.06695413589477539,9.748629331588745,9.81558346748352
Vanilla,year,0.25,0.10746169090270996,9.935786485671997,10.043248176574707
Vanilla,year,0.25,0.10863137245178223,10.90309762954712,11.011729001998901
Vanilla,hour,0.5,0.10548996925354004,25.886815309524536,25.992305278778076
Vanilla,hour,0.5,0.06733059883117676,26.024564027786255,26.09189462661743
Vanilla,hour,0.5,0.06682491302490234,28.543201208114624,28.610026121139526
Vanilla,day,0.5,0.06814217567443848,19.25712752342224,19.32526969909668
Vanilla,day,0.5,0.06741070747375488,19.352387189865112,19.419797897338867
Vanilla,day,0.5,0.06726789474487305,21.283293962478638,21.35056185722351
Vanilla,month,0.5,0.06685066223144531,10.18066120147705,10.247511863708496
Vanilla,month,0.5,0.07761144638061523,10.159904956817627,10.237516403198242
Vanilla,month,0.5,0.06733274459838867,10.54308032989502,10.610413074493408
Vanilla,year,0.5,0.0910484790802002,9.926011562347412,10.017060041427612
Vanilla,year,0.5,0.09879183769226074,9.961941957473755,10.060733795166016
Vanilla,year,0.5,0.10680484771728516,11.054199695587158,11.161004543304443
Vanilla,hour,1.0,0.06771063804626465,19.81931734085083,19.887027978897095
Vanilla,hour,1.0,0.06754517555236816,19.603240489959717,19.670785665512085
Vanilla,hour,1.0,0.06750726699829102,18.867820501327515,18.935327768325806
Vanilla,day,1.0,0.06761860847473145,19.301363468170166,19.368982076644897
Vanilla,day,1.0,0.06703639030456543,19.116182565689087,19.183218955993652
Vanilla,day,1.0,0.06673574447631836,20.816486597061157,20.883222341537476
Vanilla,month,1.0,0.06663155555725098,10.284857273101807,10.351488828659058
Vanilla,month,1.0,0.07580733299255371,10.047347068786621,10.123154401779175
Vanilla,month,1.0,0.06715989112854004,10.48764705657959,10.55480694770813
Vanilla,year,1.0,0.0669710636138916,9.888520956039429,9.95549201965332
Vanilla,year,1.0,0.10500049591064453,9.810250043869019,9.915250539779663
Vanilla,year,1.0,0.10489058494567871,11.04025650024414,11.14514708518982
Polaris,hour,0.25,12.44498324394226,0.0,12.44498324394226
Polaris,hour,0.25,12.396570682525635,0.0,12.396570682525635
Polaris,hour,0.25,12.407557249069214,0.0,12.407557249069214
Polaris,day,0.25,6.792109727859497,0.0,6.792109727859497
Polaris,day,0.25,6.469465732574463,0.0,6.469465732574463
Polaris,day,0.25,6.3375303745269775,0.0,6.3375303745269775
Polaris,month,0.25,0.2686753273010254,0.0,0.2686753273010254
Polaris,month,0.25,0.27211570739746094,0.0,0.27211570739746094
Polaris,month,0.25,0.2904167175292969,0.0,0.2904167175292969
Polaris,year,0.25,0.0824275016784668,0.0,0.0824275016784668
Polaris,year,0.25,0.07679438591003418,0.0,0.07679438591003418
Polaris,year,0.25,0.05782485008239746,0.0,0.05782485008239746
Polaris,hour,0.5,10.887587547302246,0.0,10.887587547302246
Polaris,hour,0.5,10.981165170669556,0.0,10.981165170669556
Polaris,hour,0.5,9.113537073135376,0.0,9.113537073135376
Polaris,day,0.5,2.3377866744995117,0.0,2.3377866744995117
Polaris,day,0.5,2.3702125549316406,0.0,2.3702125549316406
Polaris,day,0.5,2.416041135787964,0.0,2.416041135787964
Polaris,month,0.5,0.11241722106933594,0.0,0.11241722106933594
Polaris,month,0.5,0.12134981155395508,0.0,0.12134981155395508
Polaris,month,0.5,0.12761402130126953,0.0,0.12761402130126953
Polaris,year,0.5,0.05986833572387695,0.0,0.05986833572387695
Polaris,year,0.5,0.04423046112060547,0.0,0.04423046112060547
Polaris,year,0.5,0.04542851448059082,0.0,0.04542851448059082
Polaris,hour,1.0,2.423978090286255,0.0,2.423978090286255
Polaris,hour,1.0,2.682661294937134,0.0,2.682661294937134
Polaris,hour,1.0,2.4702389240264893,0.0,2.4702389240264893
Polaris,day,1.0,1.461491346359253,0.0,1.461491346359253
Polaris,day,1.0,0.8473231792449951,0.0,0.8473231792449951
Polaris,day,1.0,1.8910479545593262,0.0,1.8910479545593262
Polaris,month,1.0,0.0914754867553711,0.0,0.0914754867553711
Polaris,month,1.0,0.12189197540283203,0.0,0.12189197540283203
Polaris,month,1.0,0.11308145523071289,0.0,0.11308145523071289
Polaris,year,1.0,0.0476229190826416,0.0,0.0476229190826416
Polaris,year,1.0,0.03922128677368164,0.0,0.03922128677368164
Polaris,year,1.0,0.03223562240600586,0.0,0.03223562240600586
