sys,t_res,s_res,tr,ta,total_time
Polaris,hour,0.25,0.49171948432922363,0.0,0.49171948432922363
Polaris,hour,0.25,0.10428667068481445,0.0,0.10428667068481445
Polaris,hour,0.25,0.10199117660522461,0.0,0.10199117660522461
Polaris,hour,0.5,0.05108380317687988,14.73226547241211,14.78334927558899
Polaris,hour,0.5,0.02945995330810547,8.775940179824829,8.805400133132935
Polaris,hour,0.5,0.02899479866027832,11.647728681564331,11.67672348022461
Polaris,hour,1.0,0.04336380958557129,4.284749269485474,4.328113079071045
Polaris,hour,1.0,0.030065536499023438,2.5794155597686768,2.6094810962677
Polaris,hour,1.0,0.02865314483642578,3.3628556728363037,3.3915088176727295
Polaris,day,0.25,0.04443979263305664,6.559573173522949,6.604012966156006
Polaris,day,0.25,0.04328632354736328,6.442168235778809,6.485454559326172
Polaris,day,0.25,0.03962993621826172,6.319787502288818,6.35941743850708
Polaris,day,0.5,0.047621965408325195,2.3007211685180664,2.3483431339263916
Polaris,day,0.5,0.04401373863220215,2.2925832271575928,2.336596965789795
Polaris,day,0.5,0.039028167724609375,2.2874224185943604,2.3264505863189697
Polaris,day,1.0,0.042844533920288086,1.9567945003509521,1.9996390342712402
Polaris,day,1.0,0.05305838584899902,1.9542651176452637,2.0073235034942627
Polaris,day,1.0,0.0616755485534668,1.9196183681488037,1.9812939167022705
Polaris,month,0.25,0.04887533187866211,0.20447993278503418,0.2533552646636963
Polaris,month,0.25,0.06592226028442383,0.2130892276763916,0.27901148796081543
Polaris,month,0.25,0.047107696533203125,0.22215008735656738,0.2692577838897705
Polaris,month,0.5,0.06473135948181152,0.08335065841674805,0.14808201789855957
Polaris,month,0.5,0.04526877403259277,0.07640814781188965,0.12167692184448242
Polaris,month,0.5,0.06006503105163574,0.08211135864257812,0.14217638969421387
Polaris,month,1.0,0.06146979331970215,0.051856040954589844,0.11332583427429199
Polaris,month,1.0,0.05813431739807129,0.0688631534576416,0.1269974708557129
Polaris,month,1.0,0.044049739837646484,0.06313753128051758,0.10718727111816406
Polaris,year,0.25,0.06371593475341797,0.024147987365722656,0.08786392211914062
Polaris,year,0.25,0.04312396049499512,0.02134847640991211,0.06447243690490723
Polaris,year,0.25,0.05306601524353027,0.026178598403930664,0.07924461364746094
Polaris,year,0.5,0.047241926193237305,0.009495735168457031,0.056737661361694336
Polaris,year,0.5,0.05023980140686035,0.009107828140258789,0.05934762954711914
Polaris,year,0.5,0.03861188888549805,0.011557340621948242,0.05016922950744629
Polaris,year,1.0,0.028467416763305664,0.005440950393676758,0.03390836715698242
Polaris,year,1.0,0.025203704833984375,0.007230281829833984,0.03243398666381836
Polaris,year,1.0,0.023767948150634766,0.006165504455566406,0.029933452606201172
